Executed: open_microsoft_paint with value: paint,message,application
Executed: install_app with value: install,message,application
Error: 'Create a text file',message,application
Error: 'Create a text file',message,application
"Error: (MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)')))""), '(Request ID: 7c350ba1-eeed-43d0-b9f2-dbb1ae215083)')",message,application
"Error: (MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)')))""), '(Request ID: a5fcb701-775f-4230-8eac-12081b6f57d5)')",message,application
Error: NATURAL._load_and_process_data() takes 1 positional argument but 2 were given,message,application
Executed: open_microsoft_paint with value: paint,message,application
Executed: view_file_details_file_explorer with value: explorer,message,application
Error: 'Create a text file',message,application
Executed: view_file_details_file_explorer with value: explorer,message,application
Executed: open_microsoft_paint with value: paint,message,application
Executed: install_app with value: facebook,message,application
Executed: install_app with value: install,message,application
Executed: install_app with value: facebook,message,application
Executed: install_app with value: install,message,application
Executed: view_file_details_file_explorer with value: explorer,message,application
Executed: adjust_system_brightness with value: brightness,message,application
Executed: install_app with value: install,message,application
Executed: install_app with value: install,message,application
Executed: install_app with value: instagram,message,application
Executed: install_app with value: facebook,message,application
Executed: install_app with value: facebook,message,application
Executed: install_app with value: facebook,message,application
"Error: (MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)')))""), '(Request ID: 4b7fe4c7-c6ca-41d8-b3b7-2fc9ab72d26e)')",message,application
"Error: (MaxRetryError(""HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1000)')))""), '(Request ID: c590227b-634b-4064-b5aa-341bbbb450fe)')",message,application
Executed: install_app with value: facebook,message,application
Failed to find element 'd:\CODES\PROJECTS\PC ASSISTANT\APP\MODEL 5\AI-PC-Assist\dataset\button\ms_store_update_all.png' after 3 consecutive attempts.,message,application
